step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
18940,95.09,95.25,0.16,95.17,95.12266085869341,74,170,244,0,0,high_cancel,High Cancellation
18941,95.09,95.25,0.16,95.17,95.10426021048174,75,172,247,0,0,high_cancel,High Cancellation
18942,95.09,95.15,0.06,95.12,95.13564082397386,76,174,250,0,0,high_cancel,High Cancellation
18943,95.09,95.33,0.24,95.21000000000001,95.13735379280777,78,171,249,5,19,high_cancel,High Cancellation
18944,95.11,95.25,0.14,95.18,95.1808768713099,78,173,251,0,0,high_cancel,High Cancellation
18945,95.01,95.25,0.24,95.13,95.18796794789014,77,173,250,5,19,high_cancel,High Cancellation
18946,94.82,95.25,0.43,95.035,95.1428676118087,70,173,243,10,37,high_cancel,High Cancellation
18947,94.93,95.26,0.33,95.095,95.16102177644578,71,174,245,2,14,high_cancel,High Cancellation
18948,95.13,95.18,0.05,95.155,95.15152525123628,73,174,247,0,0,high_cancel,High Cancellation
18949,95.13,95.18,0.05,95.155,95.13023254728739,75,175,250,0,0,high_cancel,High Cancellation
18950,95.13,95.18,0.05,95.155,95.11852271696448,76,177,253,0,0,high_cancel,High Cancellation
18951,95.13,95.18,0.05,95.155,95.10396531228325,77,179,256,0,0,high_cancel,High Cancellation
18952,95.13,95.18,0.05,95.155,95.09317138594383,77,181,258,0,0,high_cancel,High Cancellation
18953,95.13,95.18,0.05,95.155,95.07566588478517,79,182,261,0,0,high_cancel,High Cancellation
18954,95.13,95.18,0.05,95.155,95.13254748856566,81,182,263,0,0,high_cancel,High Cancellation
18955,95.13,95.18,0.05,95.155,95.11572827936806,83,182,265,0,0,high_cancel,High Cancellation
18956,95.05,95.18,0.13,95.11500000000001,95.07643807236022,81,183,264,4,24,high_cancel,High Cancellation
18957,95.05,95.28,0.23,95.16499999999999,95.06674861449235,84,180,264,4,12,high_cancel,High Cancellation
18958,94.96,95.06,0.1,95.00999999999999,95.03989494624506,78,182,260,8,39,high_cancel,High Cancellation
18959,94.96,95.31,0.35,95.13499999999999,95.0340721001561,79,178,257,7,26,high_cancel,High Cancellation
18960,94.96,95.03,0.07,94.995,95.01973759233995,80,179,259,0,0,high_cancel,High Cancellation
18961,94.81,95.03,0.22,94.92,95.00959783351756,74,180,254,9,44,high_cancel,High Cancellation
18962,94.81,95.03,0.22,94.92,94.9881315832687,74,183,257,0,0,high_cancel,High Cancellation
18963,94.8,95.03,0.23,94.91499999999999,94.97326643679769,73,182,255,5,23,high_cancel,High Cancellation
18964,94.8,95.37,0.57,95.08500000000001,95.00747899935807,75,174,249,9,50,high_cancel,High Cancellation
18965,94.97,95.23,0.26,95.1,95.02921978875942,77,175,252,0,0,high_cancel,High Cancellation
18966,95.04,95.53,0.49,95.285,95.0674218212649,80,169,249,7,42,high_cancel,High Cancellation
18967,95.04,95.7,0.66,95.37,95.10764967618705,80,163,243,9,46,high_cancel,High Cancellation
18968,95.04,95.18,0.14,95.11000000000001,95.10488048981254,80,166,246,0,0,high_cancel,High Cancellation
18969,94.97,95.17,0.2,95.07,95.11727997214547,80,165,245,3,19,high_cancel,High Cancellation
18970,95.05,95.17,0.12,95.11,95.11342489192137,81,166,247,0,0,high_cancel,High Cancellation
18971,95.09,95.58,0.49,95.33500000000001,95.17308895113383,84,161,245,6,20,high_cancel,High Cancellation
18972,95.14,95.58,0.44,95.36,95.16740608010006,87,160,247,0,0,high_cancel,High Cancellation
18973,95.14,95.25,0.11,95.195,95.13942399598189,88,162,250,0,0,high_cancel,High Cancellation
18974,95.14,95.72,0.58,95.43,95.15176271292216,89,155,244,9,38,high_cancel,High Cancellation
18975,95.14,95.22,0.08,95.18,95.15715010543902,91,155,246,0,0,high_cancel,High Cancellation
18976,95.14,95.74,0.6,95.44,95.17401044569095,92,154,246,4,23,high_cancel,High Cancellation
18977,95.14,95.28,0.14,95.21000000000001,95.18939256287237,94,153,247,0,0,high_cancel,High Cancellation
18978,94.92,95.21,0.29,95.065,95.1826800818614,85,155,240,10,50,high_cancel,High Cancellation
18979,94.8,95.21,0.41,95.005,95.13818386326606,82,156,238,6,43,high_cancel,High Cancellation
18980,95.11,95.21,0.1,95.16,95.14630904121933,84,156,240,0,0,high_cancel,High Cancellation
18981,95.11,95.21,0.1,95.16,95.14940415769118,85,156,241,0,0,high_cancel,High Cancellation
18982,94.8,95.21,0.41,95.005,95.10675182150747,82,158,240,5,13,high_cancel,High Cancellation
