step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
16601,99.65,99.68,0.03,99.665,99.67579872346275,17137,16318,33455,5,33,balanced,Balanced Market
16602,99.65,99.68,0.03,99.665,99.70947118640487,17126,16318,33444,10,49,balanced,Balanced Market
16603,99.65,99.68,0.03,99.665,99.73754169916698,17126,16316,33442,0,0,balanced,Balanced Market
16604,99.65,99.68,0.03,99.665,99.7288125211101,17124,16314,33438,3,16,balanced,Balanced Market
16605,99.71,99.72,0.01,99.715,99.71011351281585,17125,16311,33436,1,5,balanced,Balanced Market
16606,99.65,99.72,0.07,99.685,99.71186171070669,17120,16309,33429,6,28,balanced,Balanced Market
16607,99.65,99.72,0.07,99.685,99.7178852121401,17113,16309,33422,8,38,balanced,Balanced Market
16608,99.65,99.72,0.07,99.685,99.69994418166321,17110,16308,33418,5,23,balanced,Balanced Market
16609,99.65,99.72,0.07,99.685,99.68135145336187,17111,16307,33418,0,0,balanced,Balanced Market
16610,99.65,99.72,0.07,99.685,99.70706973630934,17109,16308,33417,0,0,balanced,Balanced Market
16611,99.65,99.72,0.07,99.685,99.73260845731511,17108,16308,33416,0,0,balanced,Balanced Market
16612,99.65,99.72,0.07,99.685,99.759352083725,17106,16306,33412,2,5,balanced,Balanced Market
16613,99.69,99.76,0.07,99.725,99.74525757698014,17108,16300,33408,4,16,balanced,Balanced Market
16614,99.69,99.76,0.07,99.725,99.72125907553108,17107,16300,33407,0,0,balanced,Balanced Market
16615,99.69,99.76,0.07,99.725,99.67086825692324,17106,16301,33407,0,0,balanced,Balanced Market
16616,99.69,99.72,0.03,99.705,99.65983345316766,17106,16299,33405,0,0,balanced,Balanced Market
16617,99.69,99.81,0.12,99.75,99.69414177072888,17106,16292,33398,8,43,balanced,Balanced Market
16618,99.65,99.81,0.16,99.73,99.69357073929284,17103,16292,33395,4,20,balanced,Balanced Market
16619,99.65,99.69,0.04,99.67,99.65693069311676,17103,16291,33394,0,0,balanced,Balanced Market
16620,99.65,99.81,0.16,99.73,99.62998479560487,17104,16287,33391,2,11,balanced,Balanced Market
16621,99.65,99.77,0.12,99.71000000000001,99.61366357689352,17103,16285,33388,2,18,balanced,Balanced Market
16622,99.65,99.74,0.09,99.695,99.62151828987702,17103,16283,33386,0,0,balanced,Balanced Market
16623,99.65,99.74,0.09,99.695,99.64560774827213,17097,16281,33378,6,39,balanced,Balanced Market
16624,99.65,99.86,0.21,99.755,99.63972325372913,17099,16272,33371,8,22,balanced,Balanced Market
16625,99.65,99.86,0.21,99.755,99.62461076327345,17099,16270,33369,0,0,balanced,Balanced Market
16626,99.65,99.86,0.21,99.755,99.59968742300948,17100,16268,33368,0,0,balanced,Balanced Market
16627,99.65,99.86,0.21,99.755,99.602467008795,17094,16268,33362,5,28,balanced,Balanced Market
16628,99.65,99.86,0.21,99.755,99.60453668454258,17096,16265,33361,0,0,balanced,Balanced Market
16629,99.65,99.86,0.21,99.755,99.60644083539724,17097,16264,33361,0,0,balanced,Balanced Market
16630,99.65,99.86,0.21,99.755,99.56194823356991,17095,16265,33360,0,0,balanced,Balanced Market
16631,99.65,99.89,0.24,99.77000000000001,99.57151593103319,17091,16259,33350,10,53,balanced,Balanced Market
16632,99.65,99.71,0.06,99.68,99.5627198580236,17092,16257,33349,0,0,balanced,Balanced Market
16633,99.65,99.96,0.31,99.805,99.60299164576627,17093,16249,33342,6,35,balanced,Balanced Market
16634,99.65,99.96,0.31,99.805,99.57690367027426,17096,16245,33341,0,0,balanced,Balanced Market
16635,99.65,99.96,0.31,99.805,99.5760024061206,17093,16244,33337,3,7,balanced,Balanced Market
16636,99.65,99.78,0.13,99.715,99.59739925053648,17091,16245,33336,0,0,balanced,Balanced Market
16637,99.65,99.66,0.01,99.655,99.58743566634315,17086,16246,33332,5,30,balanced,Balanced Market
16638,99.65,99.66,0.01,99.655,99.56288096540425,17081,16242,33323,8,35,balanced,Balanced Market
16639,99.65,100.01,0.36,99.83000000000001,99.62053172177964,17084,16230,33314,9,49,balanced,Balanced Market
16640,99.65,100.01,0.36,99.83000000000001,99.62075528817512,17083,16230,33313,0,0,balanced,Balanced Market
16641,99.65,100.01,0.36,99.83000000000001,99.6456081745242,17078,16230,33308,6,23,balanced,Balanced Market
16642,99.65,99.73,0.08,99.69,99.63395744089458,17077,16229,33306,0,0,balanced,Balanced Market
16643,99.65,99.67,0.02,99.66,99.65062210717257,17073,16229,33302,5,23,balanced,Balanced Market
16644,99.65,99.67,0.02,99.66,99.67107132469879,17074,16228,33302,0,0,balanced,Balanced Market
16645,99.65,99.67,0.02,99.66,99.67072594628442,17073,16228,33301,0,0,balanced,Balanced Market
16646,99.65,99.67,0.02,99.66,99.6770566794522,17073,16227,33300,0,0,balanced,Balanced Market
16647,99.65,99.67,0.02,99.66,99.67931430475367,17071,16227,33298,0,0,balanced,Balanced Market
16648,99.65,99.67,0.02,99.66,99.68731387721374,17063,16228,33291,6,26,balanced,Balanced Market
16649,99.65,99.69,0.04,99.67,99.69287019658705,17064,16226,33290,3,15,balanced,Balanced Market
16650,99.65,99.66,0.01,99.655,99.66104999877757,17062,16227,33289,0,0,balanced,Balanced Market
16651,99.65,99.75,0.1,99.7,99.67245349124238,17061,16223,33284,5,31,balanced,Balanced Market
16652,99.65,99.75,0.1,99.7,99.68411337688381,17057,16224,33281,2,11,balanced,Balanced Market
